Fecha,Territorio,Confirmados_PCR,Confirmados_PCR_14_días,Confirmados_PCR_7_días,Total_confirmados,Hospitalizados,Total_UCI,Fallecidos,Curados
2020-04-12,Jaén,0,0,0,1169,590,59,107,205
2020-04-12,Málaga,0,0,0,2217,1240,143,183,583
2020-04-12,Sevilla,0,0,0,2066,964,128,177,275
2020-04-12,Granada,0,0,0,1832,957,104,170,360
2020-04-13,Cádiz,0,0,0,1001,452,70,60,203
2020-04-13,Andalucía,0,0,0,10306,5054,631,836,2032
2020-04-13,Almería,0,0,0,414,176,34,38,96
2020-04-13,Córdoba,0,0,0,1190,462,57,58,197
2020-04-13,Sevilla,0,0,0,2083,971,129,178,294
2020-04-13,Huelva,0,0,0,337,177,27,27,61
2020-04-13,Jaén,0,0,0,1177,590,59,111,209
2020-04-13,Málaga,0,0,0,2240,1253,145,184,597
2020-04-13,Granada,0,0,0,1864,973,110,180,375
2020-04-14,Andalucía,0,0,0,10595,5147,665,865,2224
2020-04-14,Almería,0,0,0,416,179,34,38,100
2020-04-14,Cádiz,0,0,0,1044,455,71,62,235
2020-04-14,Córdoba,0,0,0,1211,468,61,59,207
2020-04-14,Huelva,0,0,0,344,185,30,27,62
2020-04-14,Jaén,0,0,0,1189,600,62,115,220
2020-04-14,Granada,0,0,0,1911,994,115,181,409
2020-04-14,Sevilla,0,0,0,2159,982,136,182,327
2020-04-14,Málaga,0,0,0,2321,1284,156,201,664
2020-04-15,Sevilla,0,0,0,2223,992,138,189,402
2020-04-15,Málaga,0,0,0,2363,1302,156,211,772
2020-04-15,Jaén,0,0,0,1201,608,62,128,252
2020-04-15,Huelva,0,0,0,347,200,30,28,73
2020-04-15,Granada,0,0,0,1926,1004,117,187,480
2020-04-15,Córdoba,0,0,0,1247,479,62,63,301
2020-04-15,Cádiz,0,0,0,1072,460,71,68,264
2020-04-15,Almería,0,0,0,428,181,35,38,90
2020-04-15,Andalucía,0,0,0,10807,5226,671,912,2634
2020-04-16,Andalucía,0,0,0,11053,5298,675,940,2790
2020-04-16,Almería,0,0,0,436,186,35,39,118
2020-04-16,Cádiz,0,0,0,1110,466,73,71,276
2020-04-16,Córdoba,0,0,0,1259,486,64,70,317
2020-04-16,Málaga,0,0,0,2429,1317,157,214,809
2020-04-16,Huelva,0,0,0,352,201,29,29,89
2020-04-16,Jaén,0,0,0,1233,612,62,129,252
2020-04-16,Sevilla,0,0,0,2278,1012,138,197,416
2020-04-16,Granada,0,0,0,1956,1018,117,191,513
2020-04-17,Andalucía,0,0,0,11204,5341,677,967,2948
2020-04-17,Almería,0,0,0,444,188,35,41,126
2020-04-17,Córdoba,0,0,0,1266,490,66,72,353
2020-04-17,Cádiz,0,0,0,1122,468,73,74,280
2020-04-17,Huelva,0,0,0,358,204,29,32,107
2020-04-17,Jaén,0,0,0,1274,625,63,131,252
2020-04-17,Málaga,0,0,0,2472,1325,158,217,835
2020-04-17,Sevilla,0,0,0,2299,1016,136,207,432
2020-04-17,Granada,0,0,0,1969,1025,117,193,563
2020-04-18,Almería,0,0,0,458,190,36,42,147
2020-04-18,Cádiz,0,0,0,1139,487,74,75,283
2020-04-18,Córdoba,0,0,0,1271,492,67,74,371
2020-04-18,Andalucía,0,0,0,11425,5424,687,993,3116
2020-04-18,Huelva,0,0,0,377,206,29,34,118
2020-04-18,Jaén,0,0,0,1297,636,67,137,253
2020-04-18,Málaga,0,0,0,2531,1346,158,223,869
2020-04-18,Sevilla,0,0,0,2329,1026,137,212,459
2020-04-18,Granada,0,0,0,2023,1041,119,196,616
